2_2_3: 49, 9.885714285714286; 23, 5.257142857142857, 5.149115417017692, 5.149115417017692
2_2_4: 129, 20.766666666666666; 36, 6.6, 5.929260450160772, 5.884244372990354
2_6_6: 1361, 57.84090909090909; 284, 8.872727272727273, 8.639879834772813, 8.608336462636125
3_3_4: 203, 12.455882352941178; 108, 7.070588235294117, 7.040271943879097, 7.059108820854805
3_3_5: 410, 19.78306878306878; 152, 7.772486772486772, 7.665860052429926, 7.661020367009478
3_3_6: 776, 32.17424242424242; 178, 7.8143939393939394, 7.653009610520991, 7.658320687910976
3_4_4: 441, 19.234265734265733; 185, 8.534965034965035, 8.417364175924517, 8.414472683001065
3_4_5: 760, 26.70545634920635; 214, 7.842824074074074, 7.800634584875727, 7.790786546002415
3_4_6: 841, 24.63427033492823; 276, 8.292314593301436, 8.271169733383402, 8.225826135936913
3_5_5: 776, 21.527131782945737; 308, 8.75475687103594, 8.654730931409542, 8.657791827407685
3_5_6: 1071, 23.225412530405627; 382, 8.817369009269608, 8.502931583054849, 8.495015880003773
4_4_4: 815, 25.6969696969697; 410, 13.424242424242424, 13.424242424242424, 13.424242424242424
4_4_5: 1465, 35.30538302277433; 284, 7.575569358178054, 7.58952778448484, 7.587389189748543
4_5_5: 1207, 23.448179271708685; 502, 10.214635854341736, 10.202267725933385, 10.210240199917944
